id,trust,threat,age,male,education,income
1,4,0,42,1,8,3
2,5,1,39,0,1,0
3,6,0,46,1,9,3
4,8,0,34,0,4,1
5,7,0,39,0,1,0
6,4,0,39,1,4,2
7,6,0,42,0,5,2
8,6,0,43,1,9,3
9,4,0,34,1,7,3
10,3,0,41,0,5,0
11,9,0,40,1,4,2
12,8,0,44,1,10,1
13,5,1,35,0,10,1
14,10,0,58,1,7,3
15,5,0,23,1,4,2
16,5,0,49,1,7,3
17,5,0,48,0,5,0
18,0,0,47,1,4,2
19,6,0,41,0,1,0
20,5,0,21,0,0,0
21,9,0,73,1,7,0
22,9,0,49,1,7,3
23,9,0,47,0,10,1
24,4,0,33,0,4,0
25,5,0,44,1,7,3
26,0,1,19,1,0,0
27,5,0,43,0,10,1
28,7,0,43,1,10,3
29,10,0,42,1,5,1
30,6,0,43,1,10,3
31,5,0,48,1,4,0
32,0,0,19,1,0,0
33,5,0,16,1,0,0
34,7,0,44,0,7,3
35,6,0,28,0,10,2
36,0,1,30,0,4,2
37,4,0,34,1,10,3
38,5,0,65,0,10,0
39,7,0,59,1,4,3
40,5,1,58,0,4,3
41,7,0,47,0,10,3
42,3,1,49,0,4,2
43,3,0,20,1,1,0
44,5,0,14,1,1,0
45,10,0,38,0,7,3
46,7,0,37,1,7,3
47,6,0,21,0,4,0
48,6,0,60,1,10,3
49,10,0,33,1,10,3
50,7,0,46,0,6,2
51,7,0,17,1,1,0
52,6,0,51,1,4,2
53,4,0,56,0,4,1
54,7,0,26,1,10,2
55,10,0,46,1,4,3
56,5,0,16,0,1,0
57,5,0,40,0,4,1
58,4,1,18,1,1,0
59,4,0,15,1,1,0
60,10,0,42,0,10,1
61,6,0,46,1,10,3
62,0,0,38,1,4,2
63,6,0,34,0,4,1
64,8,0,61,1,4,3
65,6,1,53,1,4,0
66,5,0,27,0,3,1
67,4,0,26,0,4,1
68,7,0,50,0,4,1
69,9,0,50,0,4,1
70,7,0,37,0,6,1
71,5,1,55,0,4,0
72,7,0,62,1,9,3
73,8,0,62,0,5,0
74,10,1,55,0,5,1
75,0,1,22,1,1,0
76,5,1,48,0,4,0
77,5,1,16,1,4,0
78,6,0,37,1,4,2
79,8,0,32,1,10,1
80,10,0,39,0,6,1
81,5,0,45,1,9,3
82,4,0,40,0,8,3
83,8,0,48,0,10,1
84,7,0,47,1,10,3
85,7,1,16,1,1,0
86,8,0,48,0,1,1
87,7,0,45,0,4,1
88,6,0,47,1,10,3
89,7,1,43,0,10,3
90,7,0,57,1,1,2
91,7,0,43,1,10,3
92,8,0,37,0,10,3
93,6,0,42,0,4,1
94,6,0,40,0,4,1
95,7,0,37,1,8,3
96,1,0,83,0,1,0
97,8,0,57,1,10,3
98,8,0,36,1,10,3
99,7,0,34,1,10,1
100,5,1,41,0,2,3
101,9,0,26,1,10,3
102,4,0,49,1,5,1
103,7,0,53,0,5,2
104,2,0,34,1,4,1
105,7,0,72,1,6,1
106,8,0,43,1,10,3
107,5,0,43,1,4,2
108,8,0,58,0,6,3
109,6,0,40,0,4,2
110,0,0,61,0,10,1
111,8,1,30,0,8,2
112,8,0,40,0,3,1
113,7,0,39,1,4,3
114,4,1,36,0,4,2
115,5,0,41,1,4,3
116,3,0,41,0,4,1
117,6,0,63,1,4,2
118,5,0,62,0,4,0
119,8,0,35,1,4,2
120,8,1,43,0,4,1
121,8,0,25,0,6,1
122,5,0,44,1,4,1
123,6,0,38,1,9,3
124,0,1,44,0,1,0
125,7,0,69,1,8,0
126,5,0,37,0,4,0
127,7,0,33,1,8,2
128,7,0,45,0,4,1
129,7,0,45,1,9,2
130,8,0,52,1,7,3
131,8,0,49,0,7,0
132,5,0,25,0,1,1
133,5,0,23,1,6,1
134,5,0,19,0,6,1
135,5,1,44,1,6,3
136,5,0,17,0,1,0
137,2,0,64,1,7,2
138,10,0,62,0,4,2
139,5,0,43,0,4,1
140,8,0,42,1,4,2
141,5,0,19,0,1,0
142,5,0,16,1,0,0
143,7,0,31,1,4,3
144,7,0,59,0,6,2
145,5,0,61,1,4,3
146,10,0,61,0,1,1
147,8,0,43,0,10,1
148,7,0,69,1,5,3
149,0,0,48,1,5,3
150,0,0,47,0,4,0
151,3,1,24,0,4,2
152,4,0,22,1,5,1
153,5,0,37,1,4,1
154,8,0,62,0,4,0
155,6,0,57,1,3,3
156,7,0,26,1,6,1
157,6,0,23,0,4,1
158,10,0,60,1,7,3
159,8,0,59,0,5,0
160,8,0,56,1,6,3
161,8,0,20,1,4,1
162,7,0,60,0,10,1
163,5,1,44,0,10,1
164,8,1,44,1,10,3
165,6,0,47,0,10,1
166,6,0,58,0,10,3
167,8,0,27,0,7,1
168,6,0,54,1,4,3
169,7,0,48,0,4,1
170,6,0,69,0,10,0
171,8,0,38,0,4,1
172,6,0,59,1,4,2
173,4,0,42,1,8,3
174,8,0,40,0,5,0
175,7,0,42,1,9,2
176,8,0,31,0,10,2
177,7,0,51,1,6,3
178,1,0,45,0,4,0
179,7,0,23,0,0,0
180,3,0,20,0,7,1
181,8,0,55,1,7,3
182,6,0,49,1,4,2
183,4,0,60,1,4,1
184,0,0,53,0,0,0
185,7,0,27,0,4,1
186,5,1,19,1,4,1
187,8,0,43,0,4,1
188,5,0,43,1,7,3
189,8,0,60,1,3,3
190,9,0,59,1,9,3
191,9,0,59,0,6,1
192,7,0,51,1,10,3
193,7,0,49,0,6,1
194,5,0,42,0,9,1
195,8,1,42,1,8,3
196,7,0,38,0,7,1
197,7,0,35,1,1,2
198,6,1,36,1,10,3
199,7,0,57,1,6,1
200,9,0,54,0,2,0
201,2,0,36,1,4,2
202,6,0,42,1,4,2
203,4,0,39,1,4,2
204,10,1,37,0,9,1
205,9,1,41,0,10,1
206,6,0,35,0,1,0
207,4,0,41,1,5,2
208,7,0,47,0,4,0
209,6,0,44,1,10,3
210,8,0,38,0,4,2
211,9,0,44,0,6,1
212,7,1,28,1,4,1
213,10,0,51,1,10,3
214,9,0,19,0,3,0
215,5,0,17,0,0,0
216,7,0,44,1,7,3
217,7,0,43,0,4,0
218,3,1,18,1,1,0
219,6,0,46,0,6,3
220,7,1,53,1,7,3
221,4,0,59,0,4,0
222,6,0,46,1,10,3
223,8,0,40,0,4,1
224,7,0,19,1,1,0
225,6,0,18,0,1,0
226,8,0,36,1,10,3
227,10,0,34,0,10,0
228,8,0,55,1,1,2
229,6,0,21,0,0,0
230,7,1,19,0,4,1
231,7,0,36,1,6,2
232,5,0,32,0,4,1
233,4,1,38,0,4,0
234,6,0,44,1,5,3
235,7,0,49,1,4,3
236,8,0,44,0,4,3
237,6,0,59,1,4,1
238,0,0,58,0,1,1
239,3,0,45,0,4,1
240,5,0,40,1,1,1
241,6,0,39,0,7,1
242,0,0,37,1,4,1
243,8,0,44,0,3,0
244,5,0,42,1,7,3
245,8,0,14,1,1,0
246,8,0,71,1,3,0
247,7,0,53,0,6,3
248,5,0,35,0,4,1
249,8,0,60,0,1,1
250,4,0,34,1,4,1
251,8,0,57,1,10,3
252,7,0,55,0,10,3
253,6,0,48,1,8,3
254,8,0,46,0,7,0
255,5,0,20,0,6,0
256,7,0,49,1,4,2
257,7,0,45,0,5,0
258,6,0,17,1,1,0
259,8,0,42,1,10,3
260,8,0,39,0,10,1
261,5,0,43,1,4,2
262,7,0,38,1,9,2
263,4,0,51,1,5,1
264,7,0,20,0,0,0
265,4,0,17,1,0,0
266,5,0,17,1,0,0
267,3,0,57,0,4,3
268,5,0,62,0,10,0
269,8,1,60,1,10,1
270,9,0,37,0,10,3
271,6,0,37,1,9,3
272,2,0,52,1,1,1
273,8,0,29,1,4,1
274,8,0,42,0,4,2
275,5,0,63,1,9,1
276,4,0,31,0,4,1
277,10,0,50,1,9,3
278,5,0,48,0,6,1
279,7,0,23,0,6,0
280,8,0,63,0,4,0
281,5,1,27,1,5,2
282,6,1,25,1,4,1
283,6,0,58,1,4,2
284,7,0,49,0,6,0
285,6,0,53,1,10,3
286,10,0,50,0,6,0
287,4,1,17,0,0,0
288,2,0,34,0,10,1
289,0,0,51,0,6,2
290,8,0,64,0,4,1
291,6,0,59,0,4,0
292,9,0,50,1,5,3
293,9,0,27,0,10,1
294,7,0,37,1,10,3
295,5,0,38,1,4,2
296,6,0,39,1,10,3
297,8,0,43,0,10,1
298,7,0,46,1,9,3
299,9,0,47,0,9,0
300,5,0,17,0,1,0
301,5,0,43,1,9,3
302,5,0,43,0,10,0
303,4,1,17,0,1,0
304,4,0,62,1,4,2
305,6,0,43,1,4,2
306,7,0,44,0,6,1
307,8,0,64,0,4,0
308,6,0,59,0,1,1
309,5,0,60,1,1,0
310,5,0,63,1,8,3
311,5,0,34,0,8,1
312,8,0,33,1,10,3
313,7,0,36,0,4,1
314,6,0,34,1,10,3
315,4,0,51,1,7,1
316,7,0,48,0,10,2
317,10,0,18,1,4,0
318,1,1,17,1,0,0
319,5,0,44,1,4,3
320,5,1,38,1,4,1
321,5,0,32,0,4,1
322,7,0,42,1,4,1
323,4,0,34,0,4,0
324,5,1,30,0,4,2
325,5,0,25,1,7,1
326,10,0,32,0,6,2
327,3,0,34,1,7,3
328,8,1,40,0,4,1
329,7,0,48,0,4,1
330,5,0,46,1,4,2
331,7,0,21,0,4,0
332,5,0,18,1,1,0
333,2,0,63,0,4,0
334,8,0,52,1,10,3
335,8,0,33,0,10,0
336,5,0,39,0,2,1
337,8,0,50,0,10,3
338,7,1,19,1,0,0
339,5,0,58,1,4,3
340,6,0,28,0,4,2
341,4,0,23,1,4,1
342,7,0,61,0,2,3
343,4,0,37,0,4,1
344,8,0,52,0,4,1
345,8,0,49,1,1,3
346,8,0,48,0,8,1
347,5,0,56,0,10,2
348,8,0,39,0,4,2
349,0,0,23,0,0,1
350,4,0,53,0,4,0
351,2,0,57,1,7,2
352,5,0,38,1,9,1
353,8,1,38,0,6,1
354,5,0,45,0,2,2
355,8,0,61,1,6,3
356,0,0,42,1,4,1
357,5,0,41,0,4,0
358,5,0,45,0,10,3
359,5,0,26,1,4,2
360,5,0,23,0,9,0
361,7,0,48,1,10,3
362,5,0,36,1,10,3
363,7,0,37,0,6,0
364,6,0,51,1,8,3
365,8,0,51,1,10,3
366,5,0,43,0,4,1
367,8,0,57,1,4,3
368,7,0,54,0,4,1
369,8,0,25,0,10,1
370,6,0,53,1,4,2
371,8,0,55,0,4,0
372,9,0,54,1,7,3
373,8,0,51,0,6,1
374,8,0,21,0,6,0
375,6,0,20,0,6,0
376,0,0,52,1,7,3
377,7,0,50,0,7,1
378,4,0,28,0,5,1
379,5,0,55,1,4,3
380,7,1,62,1,5,2
381,4,0,60,1,6,2
382,8,0,58,0,4,0
383,2,0,42,0,4,2
384,8,0,46,0,10,1
385,9,0,19,0,6,0
386,7,0,63,1,4,1
387,6,0,46,1,7,3
388,8,0,44,0,7,1
389,7,0,19,1,0,0
390,4,0,17,1,0,0
391,4,0,22,0,4,1
392,3,0,39,1,4,2
393,6,1,34,0,4,1
394,7,0,40,1,4,3
395,5,0,61,1,9,3
396,8,0,47,0,6,1
397,4,0,63,0,5,0
398,8,1,34,1,10,3
399,5,0,36,0,10,1
400,8,0,62,1,10,3
401,9,0,30,1,9,3
402,8,0,28,1,10,3
403,8,0,56,0,6,1
404,8,0,52,0,4,2
405,6,1,59,1,7,3
406,6,0,67,0,9,0
407,7,0,51,0,2,1
408,8,0,54,1,6,3
409,9,0,48,0,3,1
410,4,0,19,0,4,1
411,5,0,40,0,6,2
412,5,0,39,0,4,3
413,6,0,37,1,4,2
414,2,0,44,0,4,1
415,9,0,16,0,0,0
416,6,1,63,1,10,3
417,8,0,63,0,10,1
418,7,0,47,1,8,3
419,8,0,58,1,4,1
420,0,1,21,1,4,1
421,4,0,50,1,7,2
422,8,0,42,1,9,3
423,6,0,52,1,4,3
424,6,0,59,0,4,1
425,8,0,49,0,6,3
426,8,0,54,0,10,3
427,9,0,64,1,9,0
428,8,0,57,1,9,3
429,7,0,53,0,10,2
430,0,0,21,0,6,1
431,9,0,40,0,4,1
432,10,0,42,0,4,1
433,8,0,43,1,8,3
434,6,1,37,1,4,1
435,8,0,45,0,10,2
436,9,0,15,1,0,0
437,4,0,49,0,4,2
438,5,0,50,0,4,1
439,6,0,54,0,4,3
440,9,0,62,1,9,3
441,7,0,56,1,10,3
442,7,0,55,0,7,0
443,8,0,49,0,6,0
444,7,0,53,1,10,2
445,3,0,14,0,0,0
446,10,0,37,0,8,1
447,10,0,70,0,7,0
448,4,0,44,1,4,2
449,7,0,51,0,4,0
450,7,0,23,0,10,0
451,7,0,21,1,4,0
452,6,0,18,0,0,0
453,7,0,57,1,4,2
454,8,0,65,1,8,3
455,8,0,62,0,4,2
456,8,0,28,0,9,1
457,8,0,44,0,9,3
458,7,1,38,1,10,3
459,5,0,41,0,2,0
460,7,0,45,1,10,2
461,8,0,40,0,5,1
462,7,0,40,1,9,3
463,8,0,40,1,10,3
464,10,0,50,1,4,3
465,10,0,45,0,4,1
466,8,0,47,1,4,3
467,7,0,40,0,4,1
468,6,0,54,0,10,3
469,8,0,55,1,10,3
470,6,0,16,0,0,0
471,7,0,50,0,4,2
472,8,0,38,1,10,3
473,4,0,59,0,10,2
474,7,0,46,0,5,0
475,9,0,46,1,7,2
476,8,0,50,1,7,3
477,7,0,48,1,10,3
478,7,0,44,0,7,0
479,8,0,48,1,10,2
480,5,1,52,0,4,1
481,3,0,37,1,9,3
482,7,0,44,0,4,1
483,3,1,19,1,4,1
484,10,1,53,1,8,2
485,8,0,50,0,6,0
486,5,0,40,1,7,3
487,5,0,57,0,4,1
488,8,0,43,1,9,3
489,6,0,73,1,7,1
490,8,0,69,0,4,0
491,6,0,43,0,10,3
492,5,0,39,0,4,2
493,7,0,46,1,7,2
494,5,0,19,0,4,1
495,8,1,17,1,0,0
496,7,0,36,0,10,3
497,9,0,36,1,10,2
498,7,0,51,1,4,2
499,9,0,47,0,4,0
500,7,0,17,0,0,0
501,5,0,72,1,9,3
502,6,0,50,1,4,3
503,3,0,39,1,4,1
504,7,0,72,1,4,0
505,6,0,42,1,4,3
506,10,0,48,1,6,1
507,7,0,54,0,4,2
508,7,0,20,1,5,0
509,5,0,42,1,10,3
510,7,0,40,0,5,1
511,5,0,58,1,6,3
512,4,0,60,1,4,3
513,7,0,60,0,4,1
514,9,0,34,1,10,3
515,7,0,29,1,6,0
516,9,0,39,0,10,3
517,7,0,50,0,10,1
518,7,0,19,1,6,0
519,7,0,17,0,1,0
520,9,0,43,1,9,2
521,9,0,52,1,9,3
522,10,0,44,0,9,2
523,5,0,49,0,10,1
524,5,0,40,1,10,3
525,7,0,34,0,10,2
526,10,0,42,0,6,0
527,8,1,44,1,4,1
528,7,0,41,0,1,1
529,8,0,60,1,4,3
530,6,0,56,0,4,2
531,8,0,20,0,4,1
532,7,0,52,1,4,3
533,9,0,51,0,9,3
534,8,0,25,1,6,1
535,7,0,55,0,4,0
536,10,0,45,0,4,0
537,5,0,50,0,6,0
538,5,0,48,1,4,3
539,10,0,15,0,1,0
540,6,0,39,1,8,3
541,7,0,50,0,4,0
542,5,0,50,1,5,3
543,8,0,17,0,1,0
544,8,0,68,1,4,0
545,7,0,64,0,4,0
546,8,0,58,1,8,3
547,7,0,57,0,4,1
548,5,0,25,0,4,1
549,6,0,51,1,4,3
550,9,0,48,0,6,1
551,9,0,58,1,4,0
552,7,0,55,0,4,0
553,6,0,27,0,7,3
554,7,0,62,1,10,0
555,8,0,56,0,3,3
556,3,0,65,0,1,0
557,5,0,50,1,9,3
558,7,0,58,1,4,3
559,7,0,62,1,4,1
560,0,0,49,0,1,3
561,7,0,23,1,1,2
562,7,0,39,0,9,3
563,2,1,49,0,6,0
564,8,0,55,0,5,1
565,7,0,66,0,6,1
566,4,0,38,0,7,0
567,4,0,40,1,4,2
568,7,0,60,0,8,1
569,4,0,18,0,1,0
570,6,0,15,1,0,0
571,5,0,48,0,4,1
572,5,0,48,0,4,1
573,3,0,48,1,8,3
574,9,0,22,0,3,0
575,8,0,19,0,1,0
576,8,0,52,1,4,3
577,7,0,19,0,1,0
578,6,1,17,1,0,0
579,8,0,31,0,6,1
580,8,0,23,0,6,0
581,7,0,63,0,4,2
582,0,1,63,1,4,3
583,5,0,58,0,4,0
584,4,0,55,1,7,1
585,5,0,27,1,4,2
586,7,0,25,1,9,0
587,5,0,58,0,4,1
588,8,0,44,0,4,1
589,10,0,60,0,4,0
590,5,1,18,1,1,0
591,5,0,16,0,0,0
592,8,0,41,1,1,1
593,5,0,53,1,4,3
594,7,0,24,0,1,1
595,9,0,22,1,0,1
596,6,0,43,1,10,3
597,6,0,40,0,9,1
598,8,0,42,1,7,3
599,7,0,60,0,4,1
600,4,1,60,0,6,1
601,5,0,48,1,7,1
602,5,0,50,0,2,0
603,9,0,21,0,6,0
604,6,0,37,0,4,3
605,8,1,42,1,10,3
606,7,1,48,1,1,1
607,6,0,45,0,6,2
608,5,0,45,1,4,2
609,7,0,17,0,1,0
610,8,0,49,1,6,3
611,10,0,47,0,6,1
612,8,0,22,0,10,1
613,8,0,20,1,6,0
614,7,0,51,0,2,1
615,6,1,17,1,0,0
616,7,0,53,0,5,1
617,5,0,51,1,4,2
618,7,0,52,0,10,0
619,6,0,19,0,1,0
620,5,1,16,1,1,0
621,8,0,57,0,4,1
622,7,0,42,1,7,3
623,10,0,33,0,6,0
624,4,0,46,0,4,0
625,0,0,16,0,0,0
626,5,0,63,1,4,3
627,7,0,29,0,2,0
628,7,0,36,1,4,3
629,10,0,33,0,4,0
630,8,0,41,1,7,2
631,5,0,36,0,4,0
632,2,0,48,0,4,0
633,6,0,54,0,4,1
634,6,0,55,1,9,3
635,10,0,25,0,10,1
636,6,0,61,1,4,0
637,5,0,56,0,5,1
638,5,0,68,0,3,0
639,7,0,49,1,4,2
640,4,0,46,0,10,1
641,7,1,57,0,7,2
642,8,0,28,1,10,2
643,10,0,68,1,2,1
644,9,0,39,0,7,1
645,9,0,42,0,7,2
646,6,0,71,0,7,0
647,6,0,50,0,8,1
648,6,0,18,1,0,0
649,7,0,17,0,1,0
650,8,0,70,0,9,1
651,8,0,32,1,6,2
652,10,0,60,0,4,0
653,5,0,49,0,1,0
654,3,0,18,1,0,0
655,7,0,55,0,4,0
656,4,1,35,1,4,2
657,5,0,34,0,7,1
658,5,0,43,1,9,1
659,8,1,40,0,9,1
660,6,0,38,0,2,0
661,9,0,39,0,4,0
662,4,0,22,0,10,0
663,5,0,20,0,1,1
664,10,0,16,1,1,0
665,6,0,53,0,4,3
666,8,0,55,1,10,3
667,10,0,55,0,8,0
668,1,1,22,1,6,0
669,7,0,19,1,6,0
670,8,0,58,0,6,3
671,9,1,55,0,9,1
672,9,0,54,1,10,2
673,9,0,22,0,6,0
674,9,0,20,1,4,0
675,7,0,60,1,7,3
676,10,0,60,0,9,1
677,9,0,30,0,10,2
678,7,0,56,1,4,3
679,7,0,52,0,4,1
680,8,0,33,1,1,2
681,7,0,38,1,7,3
682,7,0,36,0,4,0
683,7,0,39,0,4,0
684,9,0,51,1,5,2
685,6,0,48,1,7,3
686,5,0,44,0,4,1
687,5,0,52,1,4,2
688,6,0,17,0,2,0
689,7,0,43,1,10,3
690,9,0,71,0,4,0
691,6,0,71,1,4,0
692,8,0,45,1,4,1
693,8,0,52,0,4,1
694,8,0,29,1,10,1
695,7,0,26,0,6,0
696,8,0,54,0,10,1
697,8,0,38,1,4,2
698,10,0,58,1,7,1
699,0,0,26,0,4,1
700,7,0,42,1,9,3
701,7,0,39,0,5,0
702,8,0,62,1,8,3
703,6,0,60,0,4,0
704,7,0,29,0,9,3
705,0,0,27,0,7,1
706,7,0,52,1,7,3
707,6,0,61,1,4,3
708,1,1,36,1,8,3
709,5,0,40,0,4,1
710,8,0,80,0,7,3
711,9,0,23,0,4,1
712,9,0,22,0,6,0
713,8,0,36,0,7,3
714,7,0,25,1,4,1
715,7,0,47,1,4,3
716,9,0,45,0,2,1
717,7,1,20,0,0,0
718,7,0,17,1,0,0
719,6,0,27,0,10,3
720,5,0,57,0,1,2
721,8,0,55,0,1,0
722,7,0,50,1,10,3
723,7,0,61,1,4,3
724,7,0,59,0,4,1
725,3,0,58,0,5,1
726,7,0,57,0,7,1
727,7,1,24,0,10,0
728,3,0,49,1,4,2
729,2,0,47,0,2,0
730,4,0,26,1,4,1
731,3,0,22,1,0,1
732,5,0,20,0,1,0
733,4,1,19,1,1,1
734,8,0,60,0,4,2
735,5,0,26,1,7,1
736,10,0,25,0,4,1
737,5,0,48,1,8,1
738,7,0,65,0,1,0
739,5,0,61,0,4,1
740,7,1,42,0,6,1
741,6,0,17,0,1,0
742,7,0,16,0,1,0
743,7,0,15,0,0,0
744,9,0,55,1,4,2
745,8,0,46,0,5,1
746,6,0,34,0,10,1
747,7,0,43,1,7,3
748,6,0,26,1,1,0
749,4,0,42,1,8,3
750,8,0,33,0,4,1
751,7,0,51,1,4,3
752,8,0,32,0,4,1
753,3,1,22,1,0,1
754,5,0,50,0,10,0
755,6,0,51,1,5,3
756,6,0,32,0,9,2
757,6,0,47,0,4,0
758,7,0,39,1,9,1
759,4,1,17,1,1,0
760,3,1,25,1,6,1
761,7,0,66,1,4,2
762,6,0,28,0,9,1
763,8,1,28,1,4,2
764,8,0,22,1,4,1
765,8,0,37,0,4,2
766,5,0,51,0,4,2
767,9,0,41,1,10,2
768,10,0,67,0,5,1
769,8,0,44,1,9,2
770,6,0,41,0,4,1
771,8,1,20,0,3,1
772,5,0,32,1,6,2
773,1,0,44,1,4,1
774,9,0,42,1,4,1
775,5,0,36,0,1,0
776,7,0,17,1,1,0
777,8,0,62,1,10,3
778,9,0,53,0,5,3
779,8,0,22,1,4,1
780,6,0,36,0,4,2
781,6,0,54,1,4,3
782,8,0,51,0,9,3
783,9,0,39,1,9,3
784,3,1,52,1,4,2
785,6,0,46,0,4,1
786,7,0,22,1,4,1
787,6,0,58,1,6,3
788,10,0,43,0,6,0
789,5,1,15,0,0,0
790,8,0,44,1,4,3
791,6,0,47,0,2,1
792,8,0,20,0,1,0
793,6,0,38,1,10,3
794,0,0,47,1,4,3
795,0,0,45,0,5,0
796,0,1,22,1,1,2
797,3,0,15,0,1,0
798,9,0,73,1,8,1
799,3,0,37,1,4,1
800,0,0,40,0,1,0
801,5,0,27,1,10,2
802,7,0,19,1,1,0
803,3,0,54,0,6,2
804,10,0,51,1,5,1
805,5,0,47,0,4,1
806,7,0,69,1,5,0
807,8,1,39,1,4,2
808,9,0,43,1,10,3
809,10,0,43,0,6,1
810,8,0,54,1,5,3
811,7,1,41,0,7,2
812,8,0,41,1,6,3
813,6,0,54,0,10,3
814,9,0,43,1,10,3
815,5,0,60,0,7,1
816,4,0,46,1,10,3
