Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight
225,Belly,Female,Yes,Dark brown,Single breed,11,80
226,Friday ,Female,Yes,Black,Mixed breed/unknown,3,48
227,Umber,Female,Yes,Dark brown,Single breed,1.5,42
228,Mitzvah,Female,Yes,White,Mixed breed/unknown,14,15
229,Freya,Female,No,Yellow/blond,Single breed,0.5,85
230,Chaya,Female,Yes,White,Single breed,10,12.5
231,Molly,Female,Yes,Yellow/blond,Single breed,11,110
232,Maggie,Female,Yes,White,Single breed,13,18
233,Max,Male,Yes,Black,Single breed,11,25
234,Dylan,Male,Yes,Black,Single breed,9,75
235,Mikey,Male,Yes,No primary color,Mixed breed/unknown,4,50
236,Miss Abigail’s sunshine,Female,Yes,Light brown,Single breed,12,90
237,Miya,Female,Yes,Black,Mixed breed/unknown,10,40
238,Lena,Female,Yes,Dark brown,Mixed breed/unknown,4,20
239,Roxy,Female,Yes,Light brown,Mixed breed/unknown,14,30
240,Bella,Female,Yes,Other,Mixed breed/unknown,2,50
241,Nikita,Female,Yes,Light brown,Mixed breed/unknown,3,50
242,Velvet,Female,Yes,Black,Mixed breed/unknown,16,30
243,Buster,Male,Yes,Dark brown,Mixed breed/unknown,11,178
244,Bella,Female,Yes,Light brown,Mixed breed/unknown,2,65
245,Akira,Female,Yes,White,Mixed breed/unknown,3,20
246,Quinn,Female,Yes,Black,Mixed breed/unknown,12,45
247,Hunter,Male,Yes,No primary color,Mixed breed/unknown,15,42
248,Nutmeg,Female,Yes,White,Mixed breed/unknown,7,40
249,Addie Mae,Female,Yes,Black,Mixed breed/unknown,3,50
250,Leo,Male,Yes,White,Mixed breed/unknown,2.5,18
251,Bessie,Female,Yes,Yellow/blond,Single breed,13,65
252,Sherlock,Female,Yes,Black,Mixed breed/unknown,3,50
253,Eva,Female,Yes,Reddish,Mixed breed/unknown,14,70
254,Nalla,Female,Yes,White,Single breed,10,96
255,Lady,Female,Yes,Black,Single breed,1,70
256,Ella,Female,Yes,Black,Mixed breed/unknown,6,64
257,Charlie ,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",2,15.4
258,Nimble,Male,Yes,White,Single breed,10,11
259,,Male,Yes,Light brown,Single breed,2,30
260,Max,Male,Yes,Light brown,Single breed,2,30
261,Nina,Female,Yes,Reddish,Mixed breed/unknown,1,40
262,Shelley,Female,Yes,Other,"Designer/deliberate mix (e.g., labradoodles)",8,45
263,Maggie,Female,Yes,White,Mixed breed/unknown,12,22
264,Bailey,Male,No,Reddish,"Designer/deliberate mix (e.g., labradoodles)",0.42,28
265,Korra,Female,Yes,White,Mixed breed/unknown,4,50
266,Zeus,Male,Yes,Black,Mixed breed/unknown,4,75
267,Finnick ,Male,Yes,Dark brown,Mixed breed/unknown,3.5,75
268,Homer,Male,Yes,Black,Mixed breed/unknown,13,35
269,Oliver,Male,Yes,Black,Mixed breed/unknown,5,52
270,Lily,Female,Yes,Black,Mixed breed/unknown,8,72
271,Emmitt,Male,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",4,22
272,Jumbo,Male,Yes,White,Mixed breed/unknown,8,5
273,Odin,Male,Yes,Black,Mixed breed/unknown,12.75,113
274,Dino,Male,Yes,Yellow/blond,Mixed breed/unknown,1.5,120
275,Stella,Female,Yes,Yellow/blond,Single breed,8,75
276,Bonnie,Female,Yes,Black,Mixed breed/unknown,5,60
277,Gracie,Female,Yes,Reddish,Single breed,3,30
278,Clementine,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",2,11
279,Oliver ,Male,Yes,Other,Mixed breed/unknown,11,22
280,Sandy,Female,Yes,Light brown,Mixed breed/unknown,7,65
281,Cal,Male,Yes,Dark brown,Mixed breed/unknown,5,49
282,Kiera,Female,Yes,Yellow/blond,Single breed,10,75
283,Kona,Female,Yes,Black,Mixed breed/unknown,7,45
284,Walter,Male,Yes,White,Mixed breed/unknown,6.5,19
285,Clyde,Male,Yes,White,Mixed breed/unknown,6.5,18
286,Izzy,Female,Yes,Black,Single breed,4,63.8
287,Zoey,Female,Yes,White,Single breed,17,
288,Bindi,Female,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",3,30
289,Loki,Male,Yes,Other,Mixed breed/unknown,5,39.6
290,Brownie,Male,Yes,Black,Mixed breed/unknown,6,77
291,Lea,Female,Yes,Dark brown,Mixed breed/unknown,3,77
292,Penny,Female,Yes,Other,Mixed breed/unknown,3,19.8
293,Zoey,Female,Yes,Black,Mixed breed/unknown,8,25
294,Darla,Female,Yes,Yellow/blond,Single breed,14,57
295,Frida,Female,No,Light brown,Mixed breed/unknown,1.5,
296,Boone,Male,Yes,Black,Mixed breed/unknown,5,55
297,Artie,Male,Yes,White,Mixed breed/unknown,2,60
298,Pele,Male,Yes,Black,Mixed breed/unknown,12,25
299,Lua,Female,Yes,Yellow/blond,Mixed breed/unknown,11,25
300,Rio,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,94
301,Posey,Female,Yes,White,Mixed breed/unknown,2,18
302,,Female,Yes,Reddish,Mixed breed/unknown,6,30
303,,Female,Yes,Yellow/blond,Mixed breed/unknown,11,60
304,,Male,Yes,No primary color,Single breed,7,6
305,Geezer,Male,Yes,Reddish,Mixed breed/unknown,15,16
306,Minnie,Female,Yes,Black,Mixed breed/unknown,14,17
307,Swiffer,Male,Yes,Yellow/blond,Mixed breed/unknown,18,16
308,Fiona,Female,Yes,Yellow/blond,Mixed breed/unknown,9,27
309,Batman,Male,Yes,Dark brown,Single breed,12,20
310,Olive,Female,Yes,Black,Mixed breed/unknown,3,37
311,Ladybug,Female,Yes,Black,Mixed breed/unknown,3,17
312,Mijo,Male,Yes,Dark brown,Single breed,4,20
313,Zeus,Male,Yes,White,Single breed,3,101
314,Khaleesi ,Female,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",1.5,6.4
315,,Female,Yes,Black,Single breed,2.5,45
316,Cadie ,Female,Yes,Light brown,Mixed breed/unknown,2.5,48
317,Lotus ,Female,No,Light brown,Single breed,5,44
318,Nut,Female,Yes,Light brown,Single breed,14,77
319,Loba,Female,Yes,Black,Mixed breed/unknown,7,50
320,Rigby,Female,Yes,Black,Mixed breed/unknown,13.92,35
321,Sugar,Female,Yes,Black,Single breed,6.5,75
322,Jabbers,Male,Yes,Light brown,Mixed breed/unknown,15,72
323,George,Male,Yes,White,Mixed breed/unknown,3.5,70
324,Penny,Female,Yes,Black,Mixed breed/unknown,7,50
325,Hulk smash ,Male,Yes,White,Single breed,3,42
326,Maverick ,Male,Yes,Reddish,Mixed breed/unknown,9,65
327,Holden,Male,Yes,Light brown,Mixed breed/unknown,2,45
328,Fred,Male,Yes,Black,Mixed breed/unknown,12,66
329,Norm,Male,Yes,Black,Single breed,10,99
330,Rizzo,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",8,56
331,Gobi,Male,Yes,White,Mixed breed/unknown,4,14
332,Kirby,Female,Yes,Yellow/blond,Single breed,12,70
333,Lucy,Female,Yes,Light brown,Mixed breed/unknown,13,50
334,Sasha,Female,Yes,No primary color,Single breed,8,100
335,Mandy,Female,Yes,Black,Single breed,14,20
336,Mello,Male,Yes,White,Single breed,7,97
337,Bella,Female,Yes,Light brown,Mixed breed/unknown,12,28.6
338,Bugzee,Male,Yes,No primary color,"Designer/deliberate mix (e.g., labradoodles)",17,8.6
339,Zoey,Female,Yes,Yellow/blond,Mixed breed/unknown,3,39
340,Sushi,Female,Yes,Light brown,Mixed breed/unknown,13,40
341,Pickles,Female,Yes,Dark brown,Mixed breed/unknown,1,60
342,Rusty,Male,Yes,No primary color,Mixed breed/unknown,2,17.6
343,Zima ,Female,Yes,Other,Single breed,2,95
344,Skit,Female,Yes,White,Single breed,13,10
345,Harley,Female,Yes,White,Mixed breed/unknown,0.42,33
346,Gio,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",13,24
347,Sully,Male,Yes,White,Mixed breed/unknown,8,35
348,Bailey,Male,Yes,Yellow/blond,Single breed,5,65
349,Nellie ,Female,Yes,Yellow/blond,Mixed breed/unknown,10,25
350,Coco,Female,Yes,Yellow/blond,Mixed breed/unknown,5,20
351,Stella,Female,Yes,Reddish,Single breed,6,53
352,Lizzi,Female,Yes,Light brown,Single breed,3,22
353,Clint Eastdog ,Male,Yes,Reddish,Single breed,3,75
354,Hershey,Female,Yes,Dark brown,Single breed,6,50
355,Perrla,Female,Yes,Yellow/blond,Mixed breed/unknown,12,55
356,Cabra,Female,Yes,White,Single breed,6,60
357,Hazel,Female,Yes,Other,Single breed,8,65
358,Raoule Wallenbark,Female,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",13,45
359,Katie,Female,Yes,White,Mixed breed/unknown,6,10
360,Lucy,Female,Yes,Black,Single breed,2,38
361,Abbey,Female,Yes,Black,Single breed,13,20
362,Lacey,Female,Yes,Black,Mixed breed/unknown,6,35
363,Fred,Male,Yes,No primary color,Single breed,6,32
364,Percy ,Male,Yes,White,Mixed breed/unknown,5,12
365,Moose,Male,Yes,Dark brown,Single breed,3,88
366,,Female,Yes,No primary color,Single breed,0.66,18
367,Dozer,Male,Yes,White,Single breed,7,125
368,Emma,Female,Yes,Dark brown,Single breed,9,72
369,Elwood,Male,Yes,Black,Single breed,5,28
370,PJ,Male,Yes,Reddish,Single breed,10,8
371,Maggie,Female,Yes,White,Mixed breed/unknown,2,35
372,Lucy,Female,Yes,Black,Single breed,15,30
373,Daisy,Female,Yes,Light brown,Single breed,12,30
374,Princess,Female,Yes,Black,Mixed breed/unknown,11,16
375,,Male,Yes,Light brown,Single breed,5,25
376,Dexter,Male,Yes,Black,Single breed,13,26
377,Belle,Female,Yes,Yellow/blond,Single breed,15.5,78
378,Tiki,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",14,40
379,Tuck,Male,Yes,Other,Single breed,4,25
380,Lilly,Female,Yes,Dark brown,Mixed breed/unknown,5,43
381,Tuffy,Male,Yes,Black,Single breed,12,75
382,Princess Leia,Female,Yes,Light brown,Mixed breed/unknown,3,60
383,Lily,Female,Yes,No primary color,Single breed,3,19
384,Joey,Male,Yes,Dark brown,Mixed breed/unknown,7,55
385,Olive,Female,Yes,No primary color,Single breed,1,17
386,Eleanor,Female,Yes,No primary color,Single breed,10,20
387,Dixie,Female,Yes,Black,Single breed,12,16
388,Sullivan,Male,Yes,Reddish,Single breed,8,23
389,Ash,Female,Yes,Other,Mixed breed/unknown,10,45
390,Gracie,Female,Yes,Black,Mixed breed/unknown,8,55
391,Winston,Male,Yes,Other,Single breed,8,42
392,Greta,Female,Yes,Light brown,Mixed breed/unknown,1.5,70
393,Oliver,Male,Yes,Black,Single breed,8,30
394,Indy ,Male,Yes,Dark brown,Single breed,9,14
395,Jupiter ,Male,Yes,Black,Single breed,8,85
396,Calla,Female,Yes,White,Mixed breed/unknown,2.5,100
397,Mars,Male,Yes,White,Mixed breed/unknown,2,40
398,Lainie,Female,Yes,Black,Mixed breed/unknown,4,23
399,Franklin,Male,Yes,Other,Single breed,10,22
400,Pixie,Female,Yes,Light brown,Single breed,6,6
401,Cody,Male,Yes,Reddish,Single breed,8,22
402,Cooper,Male,No,No primary color,Single breed,0.5,
403,Wicket,Female,Yes,Black,Mixed breed/unknown,11,60
404,Elinor,Female,Yes,White,Mixed breed/unknown,4,45
405,Nova,Male,Yes,No primary color,Single breed,1.5,28
406,Tessa,Female,Yes,No primary color,Single breed,7,18
407,Dunkin’,Male,Yes,No primary color,Single breed,6,42
408,Sophie ,Female,Yes,No primary color,Mixed breed/unknown,6,
409,Day-Z,Female,Yes,White,Mixed breed/unknown,16,30
410,,Female,Yes,White,Single breed,6.5,28
411,,Male,Yes,Dark brown,Single breed,14,80
412,,Female,Yes,Dark brown,Single breed,14,55
413,Daisy,Female,Yes,White,Single breed,14,23
414,Ruby,Female,Yes,Black,Single breed,12,22
415,Boone,Male,Yes,White,Single breed,13,
416,Belle,Female,Yes,Black,Single breed,13,23
417,Orville,Male,Yes,Reddish,Mixed breed/unknown,5,80
418,Bohdi,Male,Yes,Light brown,Mixed breed/unknown,3,50
419,Odin,Male,Yes,Light brown,Mixed breed/unknown,3,45
420,Emma,Female,Yes,Yellow/blond,Single breed,11,26
421,Katie,Female,Yes,Light brown,Single breed,14,19
422,Molly,Female,Yes,White,Single breed,2,20
423,Chingy,Male,Yes,White,Single breed,1.5,7.5
424,Finch,Male,Yes,Light brown,Single breed,6,29
425,DASH!,Male,Yes,Other,Mixed breed/unknown,10,85
426,Rooney,Male,Yes,Black,Single breed,13,80
427,Jake,Male,Yes,No primary color,Single breed,5,150
428,Otis,Male,No,Yellow/blond,Mixed breed/unknown,0.25,12.4
429,Roxy,Female,No,No primary color,Mixed breed/unknown,0.25,12.25
430,Ghost,Male,Yes,White,Mixed breed/unknown,3.5,33
431,Khaleesi,Female,Yes,Black,Mixed breed/unknown,10,60
432,Padfoot,Female,No,White,Mixed breed/unknown,8,30
433,Rixs,Female,Yes,Other,Mixed breed/unknown,16,8.9
434,Calvin,Male,Yes,Dark brown,Single breed,2.5,
435,Max,Male,Yes,Dark brown,Single breed,9,29
436,Lady,Female,Yes,Dark brown,Single breed,9.75,31.5
437,Tommy,Male,Yes,No primary color,Single breed,5,29
438,Ursula,Female,Yes,Other,Single breed,6,110
439,Merritt,Male,Yes,Light brown,Single breed,9,55
440,Dovi,Female,Yes,Light brown,Single breed,2,5.5
441,Scooby,Female,Yes,Yellow/blond,Single breed,13,80
442,Frida,Female,Yes,Dark brown,Mixed breed/unknown,6,60
443,Jynx,Female,Yes,Black,Mixed breed/unknown,3.5,85
444,Thanda,Male,Yes,Black,Mixed breed/unknown,8,55
445,Scooby,Male,Yes,Yellow/blond,Mixed breed/unknown,6,24
446,Casius,Male,Yes,Dark brown,Mixed breed/unknown,12,21
447,Edie,Female,Yes,Reddish,Mixed breed/unknown,12,30
448,Trixie ,Female,Yes,Light brown,Single breed,7,15
449,Kirby,Male,Yes,White,Mixed breed/unknown,13,45
450,Lola B,Female,Yes,Light brown,Single breed,16,22
451,Lola B,Female,Yes,Light brown,Single breed,16,22
452,Lexie,Female,Yes,Black,Mixed breed/unknown,2.5,55
453,Sophie,Female,Yes,Light brown,Mixed breed/unknown,8,80
454,Harley ,Male,Yes,Black,Mixed breed/unknown,9,75