"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"1","Jayson Tatum","SF","BOS",25,74,52,22,2732.2,2225
"2","Joel Embiid","C","PHI",29,66,43,23,2284.1,2183
"3","Luka Doncic","PG","DAL",24,66,33,33,2390.5,2138
"4","Shai Gilgeous-Alexander","PG","OKC",24,68,33,35,2416,2135
"5","Giannis Antetokounmpo","PF","MIL",28,63,47,16,2023.6,1959
"6","Anthony Edwards","SG","MIN",21,79,40,39,2841.5,1946
"7","Julius Randle","PF","NYK",28,77,44,33,2737.3,1936
"8","Donovan Mitchell","SG","CLE",26,68,44,24,2432.4,1922
"9","Trae Young","PG","ATL",24,73,38,35,2540.7,1914
"10","Zach LaVine","SG","CHI",28,77,38,39,2767.9,1913
"11","Damian Lillard","PG","POR",32,58,27,31,2106.6,1866
"12","De'Aaron Fox","PG","SAC",25,73,44,29,2435.2,1826
"13","DeMar DeRozan","SF","CHI",33,74,37,37,2681.6,1816
"14","Jaylen Brown","SG","BOS",26,67,46,21,2404.9,1784
"15","Pascal Siakam","PF","TOR",29,71,35,36,2652,1720
"16","Lauri Markkanen","PF","UTA",25,66,32,34,2272.5,1691
"17","Nikola Jokic","C","DEN",28,69,48,21,2323,1690
"18","Jalen Green","SG","HOU",21,76,20,56,2602.2,1683
"19","Jordan Poole","SG","GSW",23,82,44,38,2458.1,1675
"20","Mikal Bridges","SF","BKN",26,83,42,41,2963.2,1671
"21","Stephen Curry","PG","GSW",35,56,30,26,1941.2,1648
"22","Jalen Brunson","PG","NYK",26,68,40,28,2378.7,1633
"23","Kyrie Irving","PG","DAL",31,60,32,28,2240.6,1623
"24","Ja Morant","PG","MEM",23,61,40,21,1948.3,1596
"25","LeBron James","SF","LAL",38,55,30,25,1953.9,1590
"26","CJ McCollum","SG","NOP",31,75,38,37,2649.2,1568
"27","Bam Adebayo","C","MIA",25,75,40,35,2598,1529
"28","Dejounte Murray","SG","ATL",26,74,38,36,2693.4,1515
"29","Domantas Sabonis","PF","SAC",26,79,47,32,2735.6,1510
"30","Klay Thompson","SG","GSW",33,69,38,31,2278.9,1509
"31","Kristaps Porzingis","C","WAS",27,65,27,38,2119.5,1505
"32","Darius Garland","PG","CLE",23,69,40,29,2447.2,1490
"33","Franz Wagner","SF","ORL",21,80,33,47,2608.7,1485
"34","Devin Booker","SG","PHX",26,53,34,19,1835.4,1471
"35","Jimmy Butler","SF","MIA",33,64,35,29,2138,1466
"36","Anthony Davis","PF","LAL",30,56,31,25,1904.5,1451
"37","Nikola Vucevic","C","CHI",32,82,40,42,2746.4,1447
"38","Paolo Banchero","PF","ORL",20,72,31,41,2429.7,1437
"39","RJ Barrett","SG","NYK",22,73,40,33,2475.5,1431
"40","Keldon Johnson","SF","SAS",23,63,17,46,2063.3,1385
"41","Spencer Dinwiddie","PG","BKN",30,79,41,38,2725.3,1369
"42","Kevin Durant","PF","PHX",34,47,34,13,1671.8,1366
"43","Kyle Kuzma","SF","WAS",27,64,29,35,2238.9,1357
"44","Tyler Herro","PG","MIA",23,67,37,30,2335.4,1347
"45","Buddy Hield","SG","IND",30,80,35,45,2481.9,1344
"46","Fred VanVleet","SG","TOR",29,69,34,35,2535,1335
"47","Paul George","F","LAC",33,56,32,24,1938.9,1332
"48","Terry Rozier","SG","CHA",29,63,19,44,2220.9,1329
"49","Anfernee Simons","SG","POR",23,62,27,35,2170.7,1306
"50","Bennedict Mathurin","SG","IND",20,78,33,45,2222.4,1302
"51","Jamal Murray","PG","DEN",26,65,43,22,2133.4,1298
"52","Jerami Grant","SF","POR",29,63,28,35,2245.5,1290
"53","Jrue Holiday","PG","MIL",32,67,50,17,2182.5,1290
"54","Evan Mobley","PF","CLE",21,79,48,31,2715.3,1277
"55","Bojan Bogdanovic","SF","DET",34,59,15,44,1892.9,1273
"56","Jordan Clarkson","PG","UTA",30,61,30,31,1988.3,1271
"57","D'Angelo Russell","PG","LAL",27,71,39,32,2304.1,1263
"58","Josh Giddey","SG","OKC",20,76,34,42,2367.3,1260
"59","Desmond Bane","SG","MEM",24,58,38,20,1841.5,1247
"60","Brook Lopez","C","MIL",35,78,57,21,2372.5,1239
"61","Kawhi Leonard","SF","LAC",31,52,33,19,1747.5,1239
"62","Harrison Barnes","SF","SAC",30,82,48,34,2662,1230
"63","Tyrese Maxey","PG","PHI",22,60,39,21,2015.8,1218
"64","James Harden","SG","PHI",33,58,39,19,2135,1216
"65","Immanuel Quickley","SG","NYK",23,81,47,34,2344.1,1209
"66","Jaden Ivey","PG","DET",21,74,16,58,2304.3,1204
"67","Deandre Ayton","C","PHX",24,67,36,31,2035.3,1203
"68","Scottie Barnes","SF","TOR",21,77,38,39,2677.6,1179
"69","Jaren Jackson Jr.","PF","MEM",23,63,41,22,1787.5,1173
"70","Bradley Beal","SG","WAS",29,50,24,26,1672.9,1160
"71","Tyrese Haliburton","PG","IND",23,56,28,28,1882.9,1160
"72","Russell Westbrook","PG","LAC",34,73,36,37,2125.8,1159
"73","Gary Trent Jr.","SG","TOR",24,66,31,35,2118,1148
"74","Trey Murphy III","SG","NOP",22,79,39,40,2448,1148
"75","P.J. Washington","PF","CHA",24,73,24,49,2379.6,1144
"76","Kevin Huerter","SG","SAC",24,75,44,31,2202.8,1140
"77","Kevin Porter Jr.","SG","HOU",22,59,18,41,2023.9,1130
"78","O.G. Anunoby","SF","TOR",25,67,33,34,2385.7,1124
"79","Jonas Valanciunas","C","NOP",30,79,40,39,1968.2,1115
"80","Christian Wood","F","DAL",27,67,33,34,1738.4,1114
"81","Myles Turner","C","IND",27,62,29,33,1825.2,1113
"82","Brandon Ingram","SF","NOP",25,45,23,22,1538.1,1112
"83","Aaron Gordon","PF","DEN",27,68,45,23,2055.1,1109
"84","Alperen Sengun","C","HOU",20,75,18,57,2170.7,1109
"85","Tobias Harris","PF","PHI",30,74,47,27,2435.9,1085
"86","Michael Porter Jr.","SF","DEN",24,62,41,21,1797.9,1080
"87","Saddiq Bey","SF","ATL",24,77,24,53,2128.7,1062
"88","Jalen Williams","F","OKC",22,75,36,39,2275.6,1056
"89","Dillon Brooks","SF","MEM",27,73,46,27,2214.3,1047
"90","Malik Monk","SG","SAC",25,77,47,30,1719.2,1041
"91","Kenyon Martin Jr.","F","HOU",22,82,22,60,2292.2,1039
"92","De'Andre Hunter","SF","ATL",25,67,35,32,2125.6,1029
"93","Malik Beasley","SG","LAL",26,81,45,36,2093.1,1025
"94","Norman Powell","G","LAC",29,60,31,29,1567.1,1019
"95","Tim Hardaway Jr.","SF","DAL",31,71,37,34,2152.2,1019
"96","Derrick White","PG","BOS",28,82,57,25,2319.3,1017
"97","Luguentz Dort","G","OKC",24,74,36,38,2272.4,1013
"98","Jabari Smith Jr.","PF","HOU",19,79,21,58,2450.5,1010
"99","Malcolm Brogdon","PG","BOS",30,67,46,21,1743.8,1000
"100","Bobby Portis","F","MIL",28,70,47,23,1818.4,987
"101","Keegan Murray","SF","SAC",22,80,47,33,2381.7,976
"102","Kelly Oubre Jr.","SG","CHA",27,48,16,32,1547.5,972
"103","Jarrett Allen","C","CLE",25,68,44,24,2220.1,969
"104","Nic Claxton","C","BKN",24,76,41,35,2270.7,961
"105","Jaden McDaniels","PF","MIN",22,79,41,38,2416.5,953
"106","Rudy Gobert","C","MIN",30,70,34,36,2148.5,939
"107","John Collins","PF","ATL",25,71,37,34,2129.6,931
"108","Bruce Brown","SF","DEN",26,80,53,27,2279.5,923
"109","Max Strus","SG","MIA",27,80,42,38,2272,923
"110","Caris LeVert","SG","CLE",28,74,45,29,2237.3,897
"111","Jakob Poeltl","C","TOR",27,72,26,46,1906.1,897
"112","Tre Jones","PG","SAS",23,68,20,48,1983.7,875
"113","Wendell Carter Jr.","C","ORL",24,57,26,31,1689.5,868
"114","Mason Plumlee","C","LAC",33,79,28,51,2052.9,857
"115","Eric Gordon","SG","LAC",34,69,25,44,1965.5,856
"116","Kelly Olynyk","PF","UTA",32,68,28,40,1941.6,847
"117","LaMelo Ball","PG","CHA",21,36,13,23,1267.8,838
"118","Markelle Fultz","PG","ORL",24,60,29,31,1777.9,837
"119","Austin Reaves","SG","LAL",24,64,35,29,1843.2,833
"120","Patrick Williams","PF","CHI",21,82,40,42,2322.8,833
"121","Dennis Schroder","PG","LAL",29,66,37,29,1985.9,830
"122","Kentavious Caldwell-Pope","SG","DEN",30,76,51,25,2381.2,822
"123","Tyus Jones","PG","MEM",26,80,51,29,1939.4,822
"124","Corey Kispert","SF","WAS",24,74,31,43,2093.3,820
"125","Chris Paul","PG","PHX",37,59,33,26,1888.6,819
"126","Ivica Zubac","C","LAC",26,76,43,33,2169.4,818
"127","Quentin Grimes","SG","NYK",22,71,41,30,2120.9,799
"128","Mike Conley","PG","MIN",35,67,34,33,2028.1,798
"129","Onyeka Okongwu","PF","ATL",22,80,41,39,1848.6,791
"130","Shaedon Sharpe","SG","POR",19,80,32,48,1778.6,789
"131","Killian Hayes","PG","DET",21,76,16,60,2153.6,786
"132","Cole Anthony","PG","ORL",22,60,28,32,1551.8,781
"133","Naz Reid","C","MIN",23,68,32,36,1250.9,781
"134","De'Anthony Melton","SG","PHI",24,77,50,27,2149.8,780
"135","Clint Capela","C","ATL",28,65,35,30,1730.1,779
"136","Tari Eason","F","HOU",21,82,22,60,1767.2,760
"137","Bogdan Bogdanovic","SG","ATL",30,54,27,27,1508.6,756
"138","Jalen McDaniels","PF","PHI",25,80,31,49,1912.9,755
"139","Zion Williamson","PF","NOP",22,29,17,12,956.1,754
"140","Grayson Allen","SG","MIL",27,72,53,19,1972.1,750
"141","Josh Hart","SG","NYK",28,76,42,34,2454,743
"142","Aaron Nesmith","SF","IND",23,73,30,43,1816.4,738
"143","Gordon Hayward","SF","CHA",33,50,20,30,1576.9,733
"144","Zach Collins","PF","SAS",25,63,20,43,1440.6,731
"145","Marcus Morris Sr.","SF","LAC",33,65,35,30,1825.1,728
"146","Coby White","PG","CHI",23,74,37,37,1730.2,715
"147","Terance Mann","SG","LAC",26,81,44,37,1872.2,713
"148","Chris Boucher","PF","TOR",30,76,39,37,1523.5,712
"149","Andrew Nembhard","PG","IND",23,75,32,43,2073.5,709
"150","Rui Hachimura","PF","LAL",25,63,38,25,1466,707
"151","Daniel Gafford","C","WAS",24,78,32,46,1604.2,705
"152","Jaylen Nowell","SG","MIN",23,65,34,31,1251.7,704
"153","Devin Vassell","SG","SAS",22,38,12,26,1178.1,703
"154","Marcus Smart","PG","BOS",29,61,43,18,1956.8,703
"155","Naji Marshall","SF","NOP",25,77,40,37,1792,698
"156","Talen Horton-Tucker","SG","UTA",22,65,30,35,1313.2,698
"157","Deni Avdija","SF","WAS",22,76,33,43,2020.4,697
"158","Santi Aldama","PF","MEM",22,77,47,30,1681.7,696
"159","Jusuf Nurkic","C","POR",28,52,24,28,1391.4,694
"160","Reggie Jackson","PG","DEN",33,68,36,32,1656.9,693
"161","Isaiah Joe","SG","OKC",23,73,36,37,1395.3,691
"162","Ayo Dosunmu","SG","CHI",23,80,40,40,2097.6,687
"163","Collin Sexton","PG","UTA",24,48,24,24,1145.2,685
"164","Caleb Martin","SF","MIA",27,71,38,33,2077.7,683
"165","Walker Kessler","C","UTA",21,74,34,40,1703.2,679
"166","Donte DiVincenzo","SG","GSW",26,72,42,30,1894.4,678
"167","Malaki Branham","G","SAS",19,66,15,51,1549.6,673
"168","Royce O'Neale","PF","BKN",29,76,42,34,2409.2,671
"169","Cedi Osman","SF","CLE",28,77,48,29,1548.3,669
"170","Jonathan Kuminga","PF","GSW",20,67,38,29,1394.4,666
"171","Bones Hyland","PG","LAC",22,56,36,20,1085.5,659
"172","Doug McDermott","SF","SAS",31,64,19,45,1314.2,654
"173","Josh Richardson","SG","NOP",29,65,24,41,1529.6,654
"174","Lonnie Walker IV","G","LAL",24,56,27,29,1297,654
"175","Alec Burks","SG","DET",31,51,12,39,1122.4,652
"176","Jevon Carter","PG","MIL",27,81,57,24,1811.8,651
"177","Cameron Johnson","SF","BKN",27,42,25,17,1199.8,650
"178","T.J. McConnell","PG","IND",31,75,31,44,1526.4,650
"179","Herbert Jones","SF","NOP",24,66,31,35,1950.5,649
"180","Keita Bates-Diop","SF","SAS",27,67,18,49,1452.6,647
"181","Kyle Anderson","SF","MIN",29,69,36,33,1956.6,647
"182","Jalen Smith","PF","IND",23,68,31,37,1278.8,642
"183","Gabe Vincent","PG","MIA",26,68,37,31,1758.7,641
"184","Grant Williams","PF","BOS",24,79,55,24,2044.8,641
"185","AJ Griffin","F","ATL",19,72,34,38,1401.4,639
"186","Georges Niang","SF","PHI",29,78,51,27,1511.8,637
"187","Shake Milton","SG","PHI",26,76,52,24,1567.4,637
"188","Monte Morris","PG","WAS",27,62,28,34,1696.1,636
"189","Bol Bol","C","ORL",23,70,26,44,1505.4,634
"190","Andrew Wiggins","SF","GSW",28,37,19,18,1190.3,633
"191","Jarred Vanderbilt","PF","LAL",24,78,43,35,1879.7,619
"192","Draymond Green","PF","GSW",33,73,41,32,2297.6,617
"193","Al Horford","C","BOS",36,63,44,19,1921.4,616
"194","Kyle Lowry","PG","MIA",37,55,30,25,1717.7,615
"195","Jeremy Sochan","F","SAS",19,56,15,41,1457.7,614
"196","Jalen Duren","C","DET",19,67,16,51,1670.1,612
"197","Cam Thomas","SG","BKN",21,57,30,27,947.6,604
"198","Damion Lee","SG","PHX",30,74,40,34,1506.3,604
"199","Karl-Anthony Towns","C","MIN",27,29,15,14,957,602
"200","Moritz Wagner","C","ORL",26,57,27,30,1109.5,600
"201","Torrey Craig","SF","PHX",32,79,44,35,1947.8,588
"202","Thomas Bryant","C","DEN",25,59,33,26,1081.5,579
"203","Kevon Looney","F","GSW",27,82,44,38,1957.6,578
"204","Isaiah Stewart","C","DET",21,50,12,38,1414.1,567
"205","Joe Harris","SF","BKN",31,74,40,34,1527.2,562
"206","Trey Lyles","PF","SAC",27,74,43,31,1247.2,562
"207","Reggie Bullock","SF","DAL",32,78,37,41,2364.5,561
"208","Seth Curry","SG","BKN",32,61,37,24,1210.7,561
"209","Brandon Clarke","PF","MEM",26,56,32,24,1090.1,559
"210","Dorian Finney-Smith","PF","BKN",29,66,31,35,2008.8,551
"211","Jose Alvarado","PG","NOP",25,61,30,31,1310,550
"212","Josh Green","SG","DAL",22,60,27,33,1539.2,546
"213","Luke Kennard","SG","MEM",26,59,37,22,1315.1,546
"214","Jordan Nwora","SF","IND",24,62,36,26,1188.1,542
"215","Troy Brown Jr.","SF","LAL",23,76,40,36,1859.8,541
"216","Devonte' Graham","PG","SAS",28,73,31,42,1338.4,539
"217","Nick Richards","C","CHA",25,65,21,44,1217.7,532
"218","Josh Okogie","SF","PHX",24,72,38,34,1350.6,529
"219","Jalen Suggs","SG","ORL",21,53,20,33,1245.9,524
"220","Hamidou Diallo","SG","DET",24,56,12,44,995.9,522
"221","Terrence Ross","G","PHX",32,63,27,36,1330.5,522
"222","Drew Eubanks","PF","POR",26,78,31,47,1583.7,518
"223","Tre Mann","PG","OKC",22,67,31,36,1183.4,517
"224","Sam Hauser","SF","BOS",25,80,55,25,1289.9,512
"225","Kevin Love","PF","MIA",34,62,35,27,1239.5,509
"226","Precious Achiuwa","PF","TOR",23,55,30,25,1140.5,508
"227","Dwight Powell","C","DAL",31,76,37,39,1457.9,506
"228","Marvin Bagley III","PF","DET",24,42,7,35,990.5,504
"229","Khris Middleton","SF","MIL",31,33,25,8,800.8,497
"230","Obi Toppin","PF","NYK",25,67,37,30,1050.5,497
"231","Kendrick Nunn","G","WAS",27,70,30,40,963.4,496
"232","Cameron Payne","PG","PHX",28,48,27,21,968.3,493
"233","Taurean Prince","PF","MIN",29,54,31,23,1192.5,493
"234","Isaac Okoro","SF","CLE",22,76,48,28,1652.6,490
"235","Aaron Wiggins","SG","OKC",24,70,37,33,1297.4,479
"236","Nicolas Batum","PF","LAC",34,78,44,34,1709.6,478
"237","Dennis Smith Jr.","PG","CHA",25,54,19,35,1389.8,474
"238","Ochai Agbaji","G","UTA",23,59,29,30,1209.2,467
"239","David Roddy","F","MEM",22,70,44,26,1258.5,466
"240","Pat Connaughton","SG","MIL",30,61,43,18,1442.7,466
"241","Trendon Watford","PF","POR",22,62,26,36,1181.6,459
"242","Jock Landale","C","PHX",27,69,35,34,978.5,456
"243","Isaiah Jackson","SF","IND",21,63,24,39,1042.3,455
"244","Davion Mitchell","PG","SAC",24,80,47,33,1447,450
"245","James Wiseman","C","DET",22,45,11,34,867.2,450
"246","Victor Oladipo","SG","MIA",30,42,23,19,1105.6,449
"247","Larry Nance Jr.","PF","NOP",30,65,34,31,1380.8,441
"248","Jeff Green","PF","DEN",36,56,33,23,1091.1,437
"249","Mitchell Robinson","C","NYK",25,59,35,24,1588.8,435
"250","Terence Davis","SG","SAC",25,64,38,26,841,431
"251","Xavier Tillman","F","MEM",24,61,40,21,1180.1,429
"252","Cory Joseph","PG","DET",31,62,12,50,1227.4,427
"253","Kenrich Williams","SF","OKC",28,53,26,27,1206,425
"254","Jaden Hardy","G","DAL",20,48,20,28,708.4,420
"255","Anthony Lamb","F","GSW",25,62,36,26,1195,415
"256","Kevin Knox II","SF","POR",23,63,12,51,951.7,415
"257","Patrick Beverley","PG","CHI",34,67,34,33,1816.5,415
"258","Jordan Goodwin","G","WAS",24,62,22,40,1105.4,407
"259","Isaiah Hartenstein","C","NYK",24,82,47,35,1628.2,406
"260","Andre Drummond","C","CHI",29,67,32,35,849.1,399
"261","Oshae Brissett","SF","IND",24,65,27,38,1083.2,398
